07-03 00:19:20.637  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=247 index=19, pd=1.17, defocus(um)=44, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.667  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=239 index=20, pd=1.41, defocus(um)=53, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.703  1095  1970 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=239 index=21, pd=1.44, defocus(um)=55, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.737  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=239 index=22, pd=1.43, defocus(um)=55, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.767  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=231 index=23, pd=1.65, defocus(um)=62, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.804  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=231 index=24, pd=1.65, defocus(um)=62, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.837  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=231 index=25, pd=1.65, defocus(um)=62, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.870  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=223 index=26, pd=1.96, defocus(um)=74, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.904  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=223 index=27, pd=1.96, defocus(um)=74, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.937  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=223 index=28, pd=1.96, defocus(um)=74, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:20.971  1095  1970 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=215 index=29, pd=2.21, defocus(um)=85, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.005  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=215 index=30, pd=2.22, defocus(um)=85, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.036  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=215 index=31, pd=2.22, defocus(um)=85, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.068  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=207 index=32, pd=2.54, defocus(um)=97, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.104  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=207 index=33, pd=2.55, defocus(um)=97, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.138  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=207 index=34, pd=2.57, defocus(um)=97, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.173  1095  1971 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=199 index=35, pd=2.99, defocus(um)=113, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.203  1095  1971 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=199 index=36, pd=3.02, defocus(um)=115, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.238  1095  1971 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=199 index=37, pd=3.03, defocus(um)=115, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.271  1095  1973 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=38, pd=3.38, defocus(um)=129, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.305  1095  1974 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=39, pd=3.43, defocus(um)=131, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.340  1095  1975 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=40, pd=3.42, defocus(um)=131, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.371  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=183 index=41, pd=3.90, defocus(um)=149, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.405  1095  1970 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=183 index=42, pd=3.95, defocus(um)=151, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
07-03 00:19:21.439  1095  1972 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=183 index=43, pd=3.99, defocus(um)=152, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
